,t,rotorPhi,pendulumPhi
31,0.0,-1.5707963267948966,-0.10240760502496071
32,0.016004085540771484,-1.5698197642944418,-0.11314979252996338
33,0.03200197219848633,-1.5705521861698966,-0.12535682378564772
34,0.04800295829772949,-1.5705521861698966,-0.14232459723110535
35,0.06400609016418457,-1.5705521861698966,-0.1633206909906555
36,0.08000302314758301,-1.5707963267948966,-0.19054237069088842
37,0.09599995613098145,-1.5701859752321692,-0.22582069101975932
38,0.11197805404663086,-1.5701859752321692,-0.267690808226813
39,0.1279900074005127,-1.5705521861698966,-0.3214017457518241
40,0.14400100708007812,-1.5705521861698966,-0.38805213640797476
41,0.15998101234436035,-1.5701859752321692,-0.4716703005093561
42,0.17598795890808117,-1.5705521861698966,-0.5771390505584684
43,0.19198894500732422,-1.5698197642944418,-0.7087308474948593
44,0.20798110961914062,-1.5705521861698966,-0.8701078006948926
45,0.22398710250854492,-1.5705521861698966,-1.0679837773494794
46,0.23997902870178223,-1.5701859752321692,-1.3088285040240741
47,0.2559690475463867,-1.571162537732624,-1.5995999885345886
48,0.27197909355163574,-1.5733598033587608,-1.9427396371319325
49,0.2879769802093506,-1.5745805064842155,-2.338125379503378
50,0.30397891998291005,-1.574946717421943,-2.770742567204831
51,0.31998109817504883,-1.5739701549214882,-3.2194552154177574
52,0.3359830379486084,-1.5692094127317144,-3.6547579499953473
53,0.35197997093200684,-1.564570740854668,-4.064303848623613
54,0.36797499656677246,-1.5620072642908038,-4.430880997231643
55,0.3839430809020996,-1.563227967416486,-4.749240372379891
56,0.39994001388549816,-1.567012147105805,-5.016940567817219
57,0.4149899482727051,-1.5698197642944418,-5.218966935098624
58,0.4309730529785155,-1.5705521861698966,-5.391208146116387
59,0.4469449520111083,-1.5705521861698966,-5.51694056805005
60,0.46294713020324707,-1.5701859752321692,-5.602145646214613
61,0.4789409637451171,-1.5705521861698966,-5.649997208736895
62,0.49396705627441406,-1.5701859752321692,-5.661105607179625
63,0.509972095489502,-1.5695756236694418,-5.641940568108257
